Commit Sha,File Sha,Lines,Path,Path1,Path2,Path3,Extension
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,70f8fecdf795c8549e8ca466bbea9e85d98b143d,46,docs/nuget-overview.md,docs,nuget-overview.md,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,4c2f041e6059c01e7ffd7d9640507f8305b2e2ea,50,docs/pocketview.md,docs,pocketview.md,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,5754e16f113009fdc6e9d2b39843fc7722fbed7c,13,docs/polyglot-with-jupyter.md,docs,polyglot-with-jupyter.md,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,7c5ee7e688694adf3646f3d6c0164f1679f932ed,53,docs/small-factor-devices.md,docs,small-factor-devices.md,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,5aea8986bdd368114bf47e5d9c1c149fe28fb399,142,docs/variable-sharing.md,docs,variable-sharing.md,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,0587c85f532e2a4cfcabbc495a7cb30e04f236ab,72,docs/working-with-data.md,docs,working-with-data.md,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,7708ede2d64014e6c060602f1ed22abecd137e7d,3,docs/working-with-html.md,docs,working-with-html.md,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,f62a202b69bfaa71798a550b5f4daa8f6b37ed67,60,eng/AfterSolutionBuild.targets,eng,AfterSolutionBuild.targets,,.targets
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,b15ea8b1b27c9811019479a8b22ceecb62f63f05,2,eng/CIBuild.cmd,eng,CIBuild.cmd,,.cmd
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,2e4eecae6473d2aed67e6da9aab3d74ba52e2a31,133,eng/DownLoadSqlToolsServiceLayerPackage.ps1,eng,DownLoadSqlToolsServiceLayerPackage.ps1,,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,18483e92a088f90cc3ca0d72ca3c7160fe671689,5,eng/Publishing.props,eng,Publishing.props,,.props
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,8af951d93b7702cfbdabb41b22c43024ba3c8f1a,8,eng/SignCheckExclusionsFile.txt,eng,SignCheckExclusionsFile.txt,,.txt
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,8c18391d56809ccf704068f3b042d701ed151414,112,eng/Signing.props,eng,Signing.props,,.props
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,f8173c8fa1171753bd47636c1873367fe701c6ec,11,eng/Version.Details.xml,eng,Version.Details.xml,,.xml
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,51b8134ed550af741708064e9c57dd091e1cddd0,35,eng/Versions.props,eng,Versions.props,,.props
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,70e7bf8de69efe3a2b714f45aaf12f5cdd714aa4,79,eng/build.ps1,eng,build.ps1,,.ps1
