Author,Year,Week,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
4,2018,37,2,6,101,0,0,25,09/11/2018 05:32:49,09/14/2018 21:44:16
4,2018,38,1,44,101,0,0,1,09/18/2018 17:25:01,09/18/2018 17:25:01
4,2018,39,5,1851,1342,4,1,199,09/25/2018 16:38:07,09/28/2018 16:30:59
4,2018,40,3,304,234,1,0,21,10/01/2018 18:20:21,10/03/2018 05:05:17
4,2018,41,1,1607,126,8,0,3,10/10/2018 03:19:20,10/10/2018 03:19:20
4,2018,42,2,490,836,1,0,20,10/15/2018 19:31:15,10/18/2018 20:41:44
4,2018,44,4,1326,1336,0,0,215,10/29/2018 17:37:45,11/02/2018 18:55:08
4,2018,45,1,596,692,0,0,59,11/08/2018 05:23:56,11/08/2018 05:23:56
4,2018,46,1,1811,1717,1,0,89,11/16/2018 01:36:32,11/16/2018 01:36:32
4,2018,47,2,998,809,2,0,73,11/19/2018 18:11:12,11/19/2018 23:20:11
4,2018,48,1,286,449,0,0,71,11/30/2018 18:18:21,11/30/2018 18:18:21
4,2018,49,1,5,0,0,0,1,12/05/2018 18:48:57,12/05/2018 18:48:57
4,2018,50,1,119,131,0,0,41,12/12/2018 00:06:16,12/12/2018 00:06:16
4,2019,1,1,183,221,1,0,62,01/04/2019 23:55:46,01/04/2019 23:55:46
4,2019,2,2,207,200,0,0,56,01/11/2019 22:27:14,01/11/2019 22:57:37
4,2019,3,2,1444,1367,0,0,139,01/16/2019 03:25:44,01/17/2019 21:42:51
4,2019,4,4,1018,904,8,0,65,01/23/2019 15:15:00,01/25/2019 20:51:51
4,2019,5,5,543,852,0,4,423,01/28/2019 21:00:23,01/30/2019 00:07:53
4,2019,7,1,3819,3821,0,0,303,02/14/2019 21:19:14,02/14/2019 21:19:14
4,2019,8,2,198,104,2,0,15,02/20/2019 20:28:15,02/21/2019 22:01:04
4,2019,9,3,1828,1838,0,2,227,02/24/2019 02:20:08,02/26/2019 18:16:55
4,2019,12,3,1374,1605,3,0,590,03/18/2019 17:06:41,03/22/2019 20:50:42
4,2019,13,1,13,7,0,0,4,03/24/2019 22:56:41,03/24/2019 22:56:41
4,2019,14,2,2,2,0,0,2,04/03/2019 16:32:34,04/03/2019 16:56:26
4,2019,18,2,239,108,0,1,12,04/30/2019 19:24:42,04/30/2019 22:43:46
4,2019,24,1,1452,0,21,0,2,06/13/2019 01:40:19,06/13/2019 01:40:19
4,2019,37,1,7,3,0,0,3,09/10/2019 22:29:10,09/10/2019 22:29:10
4,2019,38,1,2,3,0,0,1,09/16/2019 17:56:51,09/16/2019 17:56:51
4,2019,39,1,3,6,0,0,1,09/26/2019 14:28:33,09/26/2019 14:28:33
4,2019,42,3,17,245,0,5,14,10/17/2019 00:29:26,10/17/2019 18:57:47
4,2019,43,4,26,6,1,0,8,10/22/2019 17:01:59,10/26/2019 01:19:31
4,2019,44,1,8,6,0,0,1,10/29/2019 15:28:26,10/29/2019 15:28:26
4,2019,46,2,58,21,1,0,5,11/13/2019 22:09:05,11/14/2019 13:22:12
