Commit Sha,File Sha,Lines,Path,Path1,Path2,Path3,Extension
fa8c82204508e5742600fbed27f7056d63dc57f5,741fd1757f86756ff19d46b774bb188ae7392f0a,54,eng/Packaging.targets,eng,Packaging.targets,,.targets
fa8c82204508e5742600fbed27f7056d63dc57f5,e727fcf4bb0fb1735dcaae6ae20df29f5d5ca533,5,eng/Publishing.props,eng,Publishing.props,,.props
fa8c82204508e5742600fbed27f7056d63dc57f5,976ae1ba79eb7cb6d7ee3c7cc6437ed3c40566af,5,eng/Signing.props,eng,Signing.props,,.props
fa8c82204508e5742600fbed27f7056d63dc57f5,c7d5d525897ae0a0cf3b20fb2c1ab5921ffd6c3b,8,eng/TensorflowMetaFiles.props,eng,TensorflowMetaFiles.props,,.props
fa8c82204508e5742600fbed27f7056d63dc57f5,c40f887e3d8b87bbd196c4b0bea99adbcb2d5b61,44,eng/Version.Details.xml,eng,Version.Details.xml,,.xml
fa8c82204508e5742600fbed27f7056d63dc57f5,84b28e1b8f06ec4bb8dbb705a64af8e55581f9ce,106,eng/Versions.props,eng,Versions.props,,.props
fa8c82204508e5742600fbed27f7056d63dc57f5,effc0c5e3def9d6d3a8a507dff10154ebe1be1fb,164,eng/helix.proj,eng,helix.proj,,.proj
fa8c82204508e5742600fbed27f7056d63dc57f5,42fba84802b008ffed9db8e15b49cbb8b3832849,3,src/DefaultGenApiDocIds.txt,src,DefaultGenApiDocIds.txt,,.txt
fa8c82204508e5742600fbed27f7056d63dc57f5,3afbdbedeadf185d5172d1e6121885a72236923c,39,src/Directory.Build.props,src,Directory.Build.props,,.props
fa8c82204508e5742600fbed27f7056d63dc57f5,fb5c95a6b2055f9c9979993b4efabebdfa8957fb,11,src/Directory.Build.targets,src,Directory.Build.targets,,.targets
fa8c82204508e5742600fbed27f7056d63dc57f5,10d53d3c06378d5dab360a96be89e9ea4ca0eb5a,381,src/Sdl.Required.Warning.ruleset,src,Sdl.Required.Warning.ruleset,,.ruleset
fa8c82204508e5742600fbed27f7056d63dc57f5,f142093d1305959ee039d4dc232d3903103a09e5,243,src/Source.ruleset,src,Source.ruleset,,.ruleset
fa8c82204508e5742600fbed27f7056d63dc57f5,7a611b82301886d65dbdf490b0eb36cb3ace835e,8,src/stylecop.json,src,stylecop.json,,.json
fa8c82204508e5742600fbed27f7056d63dc57f5,9bf19329ca50abab9be64e8898164bbe4d0c3800,12,test/Cert.props,test,Cert.props,,.props
fa8c82204508e5742600fbed27f7056d63dc57f5,cd90d4e943f4fe6e700b354b15385eeaa53993d0,55,test/Directory.Build.props,test,Directory.Build.props,,.props
fa8c82204508e5742600fbed27f7056d63dc57f5,3030dc91568760834f8dac3d7e2658d6af280a40,14,test/Directory.Build.targets,test,Directory.Build.targets,,.targets
fa8c82204508e5742600fbed27f7056d63dc57f5,7928333c4b9290f5b37f5fcb5bd3b6d5300acdd8,16,test/NightlyBuildDependency.props,test,NightlyBuildDependency.props,,.props
fa8c82204508e5742600fbed27f7056d63dc57f5,eec1c9c73b50111cb1ab1fe5fb8913759a0e5d94,10,test/TestFrameworkDependency.props,test,TestFrameworkDependency.props,,.props
fa8c82204508e5742600fbed27f7056d63dc57f5,7d3ce8b280de364110b9fb4cf3b1fa539f54ba64,18,test/coverlet.runsettings,test,coverlet.runsettings,,.runsettings
fa8c82204508e5742600fbed27f7056d63dc57f5,2a41ad5ac92b0c11afed3baf993e0c7073873ef7,19,test/run-night-build-tests.proj,test,run-night-build-tests.proj,,.proj
fa8c82204508e5742600fbed27f7056d63dc57f5,235f1402f2750683a66d40ff4b84fdf11b6f4aca,39,test/run-tests.proj,test,run-tests.proj,,.proj
fa8c82204508e5742600fbed27f7056d63dc57f5,852698bd3438f2168e4067d93570fb7c4a874642,21,tools-local/vstest.runsettings,tools-local,vstest.runsettings,,.runsettings
fa8c82204508e5742600fbed27f7056d63dc57f5,a46c8ef6dc71afbe4b8093f2a7c9f0716d71a87c,21,.config/1espt/PipelineAutobaseliningConfig.yml,.config,1espt,PipelineAutobaseliningConfig.yml,.yml
