Author,Year,Quarter,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
1,2019,2,171,146810,130000,465,214,1489,05/04/2019 16:22:21,06/27/2019 03:24:31
1,2022,1,1,7,7,0,0,5,01/02/2022 20:43:58,01/02/2022 20:43:58
